time(UTC),ghi,dhi,dni
1990-01-01 08:00:00+00:00,2.0,2.0,0.0
1990-01-01 09:00:00+00:00,38.0,37.0,8.16
1990-01-01 00:30:00+00:00,0.0,0.0,0.0
1990-01-01 01:30:00+00:00,0.0,0.0,0.0
1990-01-01 02:30:00+00:00,0.0,0.0,0.0
1990-01-01 03:30:00+00:00,0.0,0.0,0.0
1990-01-01 04:30:00+00:00,0.0,0.0,0.0
1990-01-01 05:30:00+00:00,0.0,0.0,0.0
1990-01-01 06:30:00+00:00,0.0,0.0,0.0
1990-01-01 07:30:00+00:00,0.0,0.0,0.0
1990-01-01 08:30:00+00:00,2.0,2.0,0.0
1990-01-01 09:30:00+00:00,38.0,37.0,8.16
1990-01-01 10:30:00+00:00,41.0,41.0,0.0
1990-01-01 11:30:00+00:00,40.0,40.0,0.0
1990-01-01 12:30:00+00:00,35.0,35.0,0.0
1990-01-01 13:30:00+00:00,55.0,48.0,54.99
1990-01-01 14:30:00+00:00,2.0,2.0,0.0
1990-01-01 15:30:00+00:00,0.0,0.0,0.0
1990-01-01 16:30:00+00:00,0.0,0.0,0.0
1990-01-01 17:30:00+00:00,0.0,0.0,0.0
1990-01-01 18:30:00+00:00,0.0,0.0,0.0
1990-01-01 19:30:00+00:00,0.0,0.0,0.0
1990-01-01 20:30:00+00:00,0.0,0.0,0.0
1990-01-01 21:30:00+00:00,0.0,0.0,0.0
1990-01-01 22:30:00+00:00,0.0,0.0,0.0
1990-01-01 23:30:00+00:00,0.0,0.0,0.0
1990-01-02 00:30:00+00:00,0.0,0.0,0.0
1990-01-02 01:30:00+00:00,0.0,0.0,0.0
1990-01-02 02:30:00+00:00,0.0,0.0,0.0
1990-01-02 03:30:00+00:00,0.0,0.0,0.0
1990-01-02 04:30:00+00:00,0.0,0.0,0.0
1990-01-02 05:30:00+00:00,0.0,0.0,0.0
1990-01-02 06:30:00+00:00,0.0,0.0,0.0
1990-01-02 07:30:00+00:00,0.0,0.0,0.0
1990-01-02 08:30:00+00:00,2.0,2.0,0.0
1990-01-02 09:30:00+00:00,38.0,37.0,8.1
1990-01-02 10:30:00+00:00,63.0,61.0,11.33
1990-01-02 11:30:00+00:00,96.0,83.0,66.43
1990-01-02 12:30:00+00:00,95.0,77.0,100.25
1990-01-02 13:30:00+00:00,20.0,20.0,0.0
1990-01-02 14:30:00+00:00,2.0,2.0,0.0
1990-01-02 15:30:00+00:00,0.0,0.0,0.0
1990-01-02 16:30:00+00:00,0.0,0.0,0.0
1990-01-02 17:30:00+00:00,0.0,0.0,0.0
1990-01-02 18:30:00+00:00,0.0,0.0,0.0
1990-01-02 19:30:00+00:00,0.0,0.0,0.0
1990-01-02 20:30:00+00:00,0.0,0.0,0.0
1990-01-02 21:30:00+00:00,0.0,0.0,0.0
1990-01-02 22:30:00+00:00,0.0,0.0,0.0
1990-01-02 23:30:00+00:00,0.0,0.0,0.0
1990-01-03 00:30:00+00:00,0.0,0.0,0.0
1990-01-03 01:30:00+00:00,0.0,0.0,0.0
1990-01-03 02:30:00+00:00,0.0,0.0,0.0
1990-01-03 03:30:00+00:00,0.0,0.0,0.0
1990-01-03 04:30:00+00:00,0.0,0.0,0.0
1990-01-03 05:30:00+00:00,0.0,0.0,0.0
1990-01-03 06:30:00+00:00,0.0,0.0,0.0
1990-01-03 07:30:00+00:00,0.0,0.0,0.0
1990-01-03 08:30:00+00:00,2.0,2.0,0.0
1990-01-03 09:30:00+00:00,41.0,40.0,8.04
1990-01-03 10:30:00+00:00,53.0,53.0,0.0
1990-01-03 11:30:00+00:00,72.0,70.0,10.14
1990-01-03 12:30:00+00:00,155.0,49.0,584.39
1990-01-03 13:30:00+00:00,107.0,34.0,556.12
1990-01-03 14:30:00+00:00,22.0,16.0,119.2
1990-01-03 15:30:00+00:00,0.0,0.0,0.0
1990-01-03 16:30:00+00:00,0.0,0.0,0.0
1990-01-03 17:30:00+00:00,0.0,0.0,0.0
1990-01-03 18:30:00+00:00,0.0,0.0,0.0
1990-01-03 19:30:00+00:00,0.0,0.0,0.0
1990-01-03 20:30:00+00:00,0.0,0.0,0.0
1990-01-03 21:30:00+00:00,0.0,0.0,0.0
1990-01-03 22:30:00+00:00,0.0,0.0,0.0
1990-01-03 23:30:00+00:00,0.0,0.0,0.0
1990-01-04 00:30:00+00:00,0.0,0.0,0.0
1990-01-04 01:30:00+00:00,0.0,0.0,0.0
1990-01-04 02:30:00+00:00,0.0,0.0,0.0
1990-01-04 03:30:00+00:00,0.0,0.0,0.0
1990-01-04 04:30:00+00:00,0.0,0.0,0.0
1990-01-04 05:30:00+00:00,0.0,0.0,0.0
1990-01-04 06:30:00+00:00,0.0,0.0,0.0
1990-01-04 07:30:00+00:00,0.0,0.0,0.0
1990-01-04 08:30:00+00:00,21.0,12.0,216.36
1990-01-04 09:30:00+00:00,68.0,51.0,135.33
1990-01-04 10:30:00+00:00,156.0,46.0,613.5
1990-01-04 11:30:00+00:00,174.0,53.0,608.07
1990-01-04 12:30:00+00:00,157.0,50.0,583.61
1990-01-04 13:30:00+00:00,108.0,36.0,539.62
1990-01-04 14:30:00+00:00,30.0,13.0,322.92
1990-01-04 15:30:00+00:00,0.0,0.0,0.0
1990-01-04 16:30:00+00:00,0.0,0.0,0.0
1990-01-04 17:30:00+00:00,0.0,0.0,0.0
1990-01-04 18:30:00+00:00,0.0,0.0,0.0
1990-01-04 19:30:00+00:00,0.0,0.0,0.0
1990-01-04 20:30:00+00:00,0.0,0.0,0.0
1990-01-04 21:30:00+00:00,0.0,0.0,0.0
1990-01-04 22:30:00+00:00,0.0,0.0,0.0
1990-01-04 23:30:00+00:00,0.0,0.0,0.0
1990-01-05 00:30:00+00:00,0.0,0.0,0.0
1990-01-05 01:30:00+00:00,0.0,0.0,0.0
1990-01-05 02:30:00+00:00,0.0,0.0,0.0
1990-01-05 03:30:00+00:00,0.0,0.0,0.0
1990-01-05 04:30:00+00:00,0.0,0.0,0.0
1990-01-05 05:30:00+00:00,0.0,0.0,0.0
1990-01-05 06:30:00+00:00,0.0,0.0,0.0
1990-01-05 07:30:00+00:00,0.0,0.0,0.0
1990-01-05 08:30:00+00:00,2.0,2.0,0.0
1990-01-05 09:30:00+00:00,73.0,51.0,173.35
1990-01-05 10:30:00+00:00,52.0,52.0,0.0
1990-01-05 11:30:00+00:00,43.0,43.0,0.0
1990-01-05 12:30:00+00:00,44.0,44.0,0.0
1990-01-05 13:30:00+00:00,27.0,27.0,0.0
1990-01-05 14:30:00+00:00,3.0,3.0,0.0
1990-01-05 15:30:00+00:00,0.0,0.0,0.0
1990-01-05 16:30:00+00:00,0.0,0.0,0.0
1990-01-05 17:30:00+00:00,0.0,0.0,0.0
1990-01-05 18:30:00+00:00,0.0,0.0,0.0
1990-01-05 19:30:00+00:00,0.0,0.0,0.0
1990-01-05 20:30:00+00:00,0.0,0.0,0.0
1990-01-05 21:30:00+00:00,0.0,0.0,0.0
1990-01-05 22:30:00+00:00,0.0,0.0,0.0
1990-01-05 23:30:00+00:00,0.0,0.0,0.0
1990-01-06 00:30:00+00:00,0.0,0.0,0.0
1990-01-06 01:30:00+00:00,0.0,0.0,0.0
1990-01-06 02:30:00+00:00,0.0,0.0,0.0
1990-01-06 03:30:00+00:00,0.0,0.0,0.0
1990-01-06 04:30:00+00:00,0.0,0.0,0.0
1990-01-06 05:30:00+00:00,0.0,0.0,0.0
1990-01-06 06:30:00+00:00,0.0,0.0,0.0
1990-01-06 07:30:00+00:00,0.0,0.0,0.0
1990-01-06 08:30:00+00:00,2.0,2.0,0.0
1990-01-06 09:30:00+00:00,58.0,50.0,62.34
1990-01-06 10:30:00+00:00,24.0,24.0,0.0
1990-01-06 11:30:00+00:00,24.0,24.0,0.0
1990-01-06 12:30:00+00:00,14.0,14.0,0.0
1990-01-06 13:30:00+00:00,11.0,11.0,0.0
1990-01-06 14:30:00+00:00,3.0,3.0,0.0
1990-01-06 15:30:00+00:00,0.0,0.0,0.0
1990-01-06 16:30:00+00:00,0.0,0.0,0.0
