Time,CHP1_140049_DNI_mV,SMP22_200060_DHI_Wm2,CMP11_128767_GHI_mV,StarSchenk_7773_GHI_mV,solar_zenith,solar_azimuth
2025-08-26 00:00:00+00:00,-0.002,-1.0,-0.014,-0.005,113.059,12.894
2025-08-26 00:01:00+00:00,-0.002,-1.0,-0.013,-0.005,113.027,13.159
2025-08-26 00:02:00+00:00,-0.002,-1.0,-0.013,-0.005,112.995,13.424
2025-08-26 00:03:00+00:00,-0.002,-1.01,-0.013,-0.005,112.962,13.689
2025-08-26 00:04:00+00:00,-0.002,-1.0,-0.013,-0.005,112.929,13.954
2025-08-26 00:05:00+00:00,-0.002,-1.0,-0.013,-0.005,112.895,14.218
2025-08-26 00:06:00+00:00,-0.002,-1.0,-0.013,-0.005,112.86,14.482
2025-08-26 00:07:00+00:00,-0.002,-1.0,-0.013,-0.005,112.825,14.747
2025-08-26 00:08:00+00:00,-0.002,-1.0,-0.013,-0.005,112.789,15.011
2025-08-26 00:09:00+00:00,-0.002,-1.0,-0.013,-0.005,112.753,15.274
2025-08-26 00:10:00+00:00,-0.002,-1.0,-0.013,-0.005,112.716,15.538
2025-08-26 00:11:00+00:00,-0.002,-1.0,-0.013,-0.005,112.678,15.801
2025-08-26 00:12:00+00:00,-0.002,-1.0,-0.013,-0.005,112.64,16.065
2025-08-26 00:13:00+00:00,-0.002,-1.0,-0.013,-0.005,112.601,16.328
2025-08-26 00:14:00+00:00,-0.002,-1.0,-0.013,-0.005,112.561,16.591
2025-08-26 00:15:00+00:00,-0.002,-1.0,-0.013,-0.005,112.521,16.853
2025-08-26 00:16:00+00:00,-0.002,-1.0,-0.013,-0.005,112.48,17.116
2025-08-26 00:17:00+00:00,-0.002,-1.0,-0.014,-0.005,112.439,17.378
2025-08-26 00:18:00+00:00,-0.001,-1.0,-0.014,-0.004,112.397,17.64
2025-08-26 00:19:00+00:00,-0.002,-1.0,-0.014,-0.004,112.354,17.902
2025-08-26 00:20:00+00:00,-0.002,-1.0,-0.014,-0.004,112.311,18.164
2025-08-26 00:21:00+00:00,-0.001,-1.0,-0.014,-0.004,112.267,18.425
2025-08-26 00:22:00+00:00,-0.001,-1.0,-0.014,-0.004,112.222,18.687
2025-08-26 00:23:00+00:00,-0.002,-1.0,-0.014,-0.005,112.177,18.948
2025-08-26 00:24:00+00:00,-0.002,-1.0,-0.014,-0.005,112.131,19.209
2025-08-26 00:25:00+00:00,-0.002,-1.0,-0.014,-0.005,112.085,19.47
2025-08-26 00:26:00+00:00,-0.001,-0.985,-0.014,-0.004,112.038,19.73
2025-08-26 00:27:00+00:00,-0.002,-1.0,-0.014,-0.004,111.991,19.99
2025-08-26 00:28:00+00:00,-0.002,-1.0,-0.014,-0.004,111.943,20.25
2025-08-26 00:29:00+00:00,-0.002,-1.0,-0.014,-0.004,111.894,20.51
2025-08-26 00:30:00+00:00,-0.002,-0.965,-0.013,-0.005,111.845,20.77
2025-08-26 00:31:00+00:00,-0.002,-0.93,-0.012,-0.005,111.795,21.029
2025-08-26 00:32:00+00:00,-0.002,-0.955,-0.013,-0.005,111.744,21.289
2025-08-26 00:33:00+00:00,-0.002,-0.975,-0.013,-0.004,111.693,21.548
2025-08-26 00:34:00+00:00,-0.002,-0.953,-0.013,-0.004,111.641,21.806
2025-08-26 00:35:00+00:00,-0.002,-1.0,-0.015,-0.004,111.589,22.065
2025-08-26 00:36:00+00:00,-0.002,-1.0,-0.015,-0.004,111.536,22.323
2025-08-26 00:37:00+00:00,-0.002,-1.0,-0.015,-0.004,111.483,22.581
2025-08-26 00:38:00+00:00,-0.002,-1.0,-0.015,-0.004,111.429,22.839
2025-08-26 00:39:00+00:00,-0.002,-1.0,-0.015,-0.004,111.374,23.096
2025-08-26 00:40:00+00:00,-0.002,-1.0,-0.014,-0.004,111.319,23.354
2025-08-26 00:41:00+00:00,-0.002,-1.0,-0.014,-0.004,111.263,23.611
2025-08-26 00:42:00+00:00,-0.002,-1.0,-0.014,-0.005,111.207,23.868
2025-08-26 00:43:00+00:00,-0.002,-1.0,-0.014,-0.005,111.15,24.124
2025-08-26 00:44:00+00:00,-0.001,-1.0,-0.014,-0.005,111.092,24.381
2025-08-26 00:45:00+00:00,-0.002,-1.015,-0.015,-0.005,111.034,24.637
2025-08-26 00:46:00+00:00,-0.001,-1.015,-0.015,-0.005,110.976,24.893
2025-08-26 00:47:00+00:00,-0.001,-1.012,-0.015,-0.005,110.916,25.148
2025-08-26 00:48:00+00:00,-0.001,-1.002,-0.014,-0.005,110.857,25.404
2025-08-26 00:49:00+00:00,-0.002,-1.008,-0.015,-0.005,110.796,25.659
2025-08-26 00:50:00+00:00,-0.001,-1.0,-0.014,-0.005,110.735,25.914
